%CPU %MEM ARGS Mon Mar  7 13:32:00 CST 2016
 8.5  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 2.0  0.0 ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa com1379 rsync --server --sender -vlogDtprze.iLs . /home/zlu12/PowerGraph/release/apps/ds_dist/
 6.0  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 8.5  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 2.0  0.0 ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa com1379 rsync --server --sender -vlogDtprze.iLs . /home/zlu12/PowerGraph/release/apps/ds_dist/
 6.0  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 8.5  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 2.0  0.0 ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa com1379 rsync --server --sender -vlogDtprze.iLs . /home/zlu12/PowerGraph/release/apps/ds_dist/
 7.0  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 8.5  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 2.0  0.0 ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa com1379 rsync --server --sender -vlogDtprze.iLs . /home/zlu12/PowerGraph/release/apps/ds_dist/
 7.5  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 8.5  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 2.0  0.0 ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa com1379 rsync --server --sender -vlogDtprze.iLs . /home/zlu12/PowerGraph/release/apps/ds_dist/
 7.5  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 8.5  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 2.0  0.0 ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa com1379 rsync --server --sender -vlogDtprze.iLs . /home/zlu12/PowerGraph/release/apps/ds_dist/
 8.5  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 8.5  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 2.5  0.0 ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa com1379 rsync --server --sender -vlogDtprze.iLs . /home/zlu12/PowerGraph/release/apps/ds_dist/
 9.5  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 8.5  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 2.5  0.0 ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa com1379 rsync --server --sender -vlogDtprze.iLs . /home/zlu12/PowerGraph/release/apps/ds_dist/
10.0  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 8.5  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 3.0  0.0 ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa com1379 rsync --server --sender -vlogDtprze.iLs . /home/zlu12/PowerGraph/release/apps/ds_dist/
11.0  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 5.6  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 2.0  0.0 ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa com1379 rsync --server --sender -vlogDtprze.iLs . /home/zlu12/PowerGraph/release/apps/ds_dist/
 7.3  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 5.6  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 2.0  0.0 ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa com1379 rsync --server --sender -vlogDtprze.iLs . /home/zlu12/PowerGraph/release/apps/ds_dist/
 7.3  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 5.6  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 2.0  0.0 ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa com1379 rsync --server --sender -vlogDtprze.iLs . /home/zlu12/PowerGraph/release/apps/ds_dist/
 8.6  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 5.6  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 2.3  0.0 ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa com1379 rsync --server --sender -vlogDtprze.iLs . /home/zlu12/PowerGraph/release/apps/ds_dist/
 9.3  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 5.6  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 2.3  0.0 ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa com1379 rsync --server --sender -vlogDtprze.iLs . /home/zlu12/PowerGraph/release/apps/ds_dist/
 9.6  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 5.6  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 2.3  0.0 ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa com1379 rsync --server --sender -vlogDtprze.iLs . /home/zlu12/PowerGraph/release/apps/ds_dist/
10.3  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 5.6  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 2.3  0.0 ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa com1379 rsync --server --sender -vlogDtprze.iLs . /home/zlu12/PowerGraph/release/apps/ds_dist/
11.0  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 5.6  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 2.3  0.0 ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa com1379 rsync --server --sender -vlogDtprze.iLs . /home/zlu12/PowerGraph/release/apps/ds_dist/
11.6  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 5.6  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 2.3  0.0 ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa com1379 rsync --server --sender -vlogDtprze.iLs . /home/zlu12/PowerGraph/release/apps/ds_dist/
12.0  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 0.0  0.0 ./binary/ds_dist_test --graph ./datasets/wiki_wcc.txt --ncpus 2 --saveprefix wiki_1t_test_4m_100000q --num_tree 1 --num_query 100000 --input_file ./datasets/testcases/withreal/wiki_testcases.txt
 0.0  0.0 ./binary/ds_dist_test --graph ./datasets/wiki_wcc.txt --ncpus 2 --saveprefix wiki_1t_test_4m_100000q --num_tree 1 --num_query 100000 --input_file ./datasets/testcases/withreal/wiki_testcases.txt
 0.0  0.2 ./binary/ds_dist_test --graph ./datasets/wiki_wcc.txt --ncpus 2 --saveprefix wiki_1t_test_4m_100000q --num_tree 1 --num_query 100000 --input_file ./datasets/testcases/withreal/wiki_testcases.txt
 0.0  0.2 ./binary/ds_dist_test --graph ./datasets/wiki_wcc.txt --ncpus 2 --saveprefix wiki_1t_test_4m_100000q --num_tree 1 --num_query 100000 --input_file ./datasets/testcases/withreal/wiki_testcases.txt
 0.0  0.2 ./binary/ds_dist_test --graph ./datasets/wiki_wcc.txt --ncpus 2 --saveprefix wiki_1t_test_4m_100000q --num_tree 1 --num_query 100000 --input_file ./datasets/testcases/withreal/wiki_testcases.txt
 0.0  0.3 ./binary/ds_dist_test --graph ./datasets/wiki_wcc.txt --ncpus 2 --saveprefix wiki_1t_test_4m_100000q --num_tree 1 --num_query 100000 --input_file ./datasets/testcases/withreal/wiki_testcases.txt
 0.0  0.3 ./binary/ds_dist_test --graph ./datasets/wiki_wcc.txt --ncpus 2 --saveprefix wiki_1t_test_4m_100000q --num_tree 1 --num_query 100000 --input_file ./datasets/testcases/withreal/wiki_testcases.txt
14.0  0.3 ./binary/ds_dist_test --graph ./datasets/wiki_wcc.txt --ncpus 2 --saveprefix wiki_1t_test_4m_100000q --num_tree 1 --num_query 100000 --input_file ./datasets/testcases/withreal/wiki_testcases.txt
14.0  0.3 ./binary/ds_dist_test --graph ./datasets/wiki_wcc.txt --ncpus 2 --saveprefix wiki_1t_test_4m_100000q --num_tree 1 --num_query 100000 --input_file ./datasets/testcases/withreal/wiki_testcases.txt
14.0  0.3 ./binary/ds_dist_test --graph ./datasets/wiki_wcc.txt --ncpus 2 --saveprefix wiki_1t_test_4m_100000q --num_tree 1 --num_query 100000 --input_file ./datasets/testcases/withreal/wiki_testcases.txt
14.0  0.3 ./binary/ds_dist_test --graph ./datasets/wiki_wcc.txt --ncpus 2 --saveprefix wiki_1t_test_4m_100000q --num_tree 1 --num_query 100000 --input_file ./datasets/testcases/withreal/wiki_testcases.txt
